CODGEO;NBMENFISC20;NBPERSMENFISC20;MED20;PIMP20;TP6020;TP60AGE120;TP60AGE220;TP60AGE320;TP60AGE420;TP60AGE520;TP60AGE620;TP60TOL120;TP60TOL220;PACT20;PTSA20;PCHO20;PBEN20;PPEN20;PPAT20;PPSOC20;PPFAM20;PPMINI20;PPLOGT20;PIMPOT20;D120;D920;RD20
01049;1263;3398;25560;63,0;s;s;s;s;s;s;s;s;s;79,3;71,5;3,1;4,7;24,4;8,6;3,9;2,1;1,2;0,6;-16,2;15580;41070;2,6
01050;132;361;22750;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01051;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01052;129;316;26030;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01053;18724;37098;19640;45,0;22,0;29,0;28,0;26,0;23,0;16,0;11,0;5,0;33,0;63,2;56,7;3,6;2,9;33,7;8,1;9,4;2,7;4,6;2,1;-14,4;10420;34910;3,4
01054;577;1583;26020;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01056;148;352;21220;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01057;201;484;23350;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01058;349;795;22990;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01060;244;551;23850;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01061;461;1183;24550;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01062;372;970;28420;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01063;249;599;24690;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01064;471;1136;21930;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01065;749;1863;26450;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01066;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01067;105;251;25060;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01068;317;707;21360;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01069;643;1524;25040;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01071;1924;4821;39950;60,0;8,0;s;s;s;s;s;s;s;14,0;97,3;91,0;2,9;3,4;13,8;6,6;1,3;0,5;0,5;0,3;-19,0;15270;80680;5,3
01072;1337;3079;25010;60,0;7,0;s;s;s;s;s;s;s;s;75,1;66,5;2,3;6,3;28,0;10,1;4,2;1,9;1,6;0,7;-17,4;15010;40760;2,7
01073;462;1055;24710;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01074;1072;2527;22690;49,0;11,0;s;s;s;s;s;s;s;s;77,2;71,0;3,0;3,2;22,8;8,3;5,7;2,4;2,3;1,0;-14,0;12790;35520;2,8
01075;554;1467;24170;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01076;83;145;20880;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01077;92;182;22770;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01078;558;1340;42350;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01079;316;713;22020;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01080;282;645;22490;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01081;330;742;25300;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01082;217;498;25710;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01083;388;1010;24310;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01084;335;902;23060;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01085;142;376;24560;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01087;125;291;24720;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01088;368;969;27430;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01089;873;2337;24490;57,0;s;s;s;s;s;s;s;s;s;80,0;74,9;2,5;2,6;22,2;6,3;5,3;2,9;1,6;0,8;-13,8;14730;35870;2,4
01090;153;379;21710;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01092;667;1678;25120;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01093;2303;4729;22690;50,0;10,0;s;s;s;s;s;s;s;17,0;63,7;57,5;2,6;3,6;35,2;10,9;5,2;1,8;2,3;1,1;-15,0;13610;37690;2,8
01094;309;742;22100;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01095;340;776;22050;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01096;400;1032;22570;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01098;462;1165;21600;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01099;660;1592;25480;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01100;74;132;20380;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01101;70;162;26760;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01102;389;983;23470;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01103;769;1996;40150;52,0;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01104;188;430;26070;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01105;712;1939;28050;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01106;75;172;21560;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01107;67;147;21970;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01108;525;1111;22230;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01109;828;2209;32850;45,0;10,0;s;s;s;s;s;s;s;s;96,0;90,7;3,8;1,5;11,9;4,8;2,0;0,8;0,8;0,4;-14,7;13200;62670;4,7
01110;69;154;20910;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01111;61;137;20190;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01112;167;455;24260;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01113;341;849;22650;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01114;235;572;30710;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01115;562;1396;23080;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01116;221;511;22740;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01117;61;152;22590;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01118;449;1049;26030;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01121;47;111;22770;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01123;442;1164;24470;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01124;313;705;22850;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01125;270;627;23620;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01127;225;503;23190;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01128;131;291;22100;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01129;120;307;25420;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01130;899;2327;23420;54,0;s;s;s;s;s;s;s;s;s;78,6;70,5;2,7;5,4;23,4;7,5;4,4;2,6;1,2;0,6;-13,9;15090;35340;2,3
01133;169;412;23530;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01134;736;1844;23750;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01135;757;2013;39880;53,0;13,0;s;s;s;s;s;s;s;s;89,8;85,5;2,7;1,6;17,8;8,7;1,0;0,4;0,4;0,2;-17,3;10820;83230;7,7
01136;369;975;24400;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01138;1287;2793;21240;44,0;12,0;s;s;s;s;s;s;s;20,0;67,3;60,8;3,8;2,7;31,2;7,7;6,3;2,6;2,5;1,2;-12,5;13020;35000;2,7
01139;184;427;20130;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01140;297;735;24220;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01141;182;431;25140;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01142;1856;4744;24770;62,0;7,0;s;s;s;s;s;s;s;14,0;80,4;74,3;2,9;3,2;22,5;8,4;4,7;2,3;1,6;0,8;-16,0;14440;39160;2,7
01143;4075;9502;45020;64,0;8,0;s;s;7,0;s;s;s;5,0;14,0;96,1;90,6;3,2;2,3;15,6;9,6;1,0;0,3;0,5;0,2;-22,3;15310;107750;7,0
01145;507;1188;23000;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01146;164;443;23770;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01147;215;508;20910;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01148;798;1907;23390;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01149;451;1103;26250;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01150;92;229;24150;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01151;507;1160;24530;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01152;300;771;27020;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s
01153;749;2058;47940;63,0;s;s;s;s;s;s;s;s;s;94,7;89,5;2,4;2,8;15,2;8,6;0,6;0,3;0,2;0,1;-19,1;16190;92590;5,7
